Sat Jun 08 20:11:27 +0000 2013 	 RT @aliaemily: US #education secretary @arneduncan learns about #aquaponics at #waipahu high school @usedgov @HIDOE808 #RTTT http://t.co/Oj 	  
Wed Feb 04 10:40:58 +0000 2009 	 RT @landarchitects: Need a part-time summer job? Work for us: Education Programs Admin, late April to early August. Perfect for students. h 	 Cardiff 
Thu May 28 19:17:56 +0000 2009 	 Need a part-time summer job? Work for us: Education Programs Admin, late April to early August. Perfect for students. http://t.co/DdBrb1QxIC 	 Washington, DC 
Tue Jul 07 20:57:03 +0000 2009 	 RT @JoinAAP: RT @MalayaKNayak: The country which gave us education nd living, now the country demads us to utilize it well. Thts why #ISupp 	 Bangalore 
Sat Dec 05 01:37:06 +0000 2009 	 Nature- forms us
Sin- deforms us
Education- informs us
Society- reforms us

ONLY Jesus can- Transform us!
(2 Corinthians 5:17) #Easter 	 KY/VA 
Fri Oct 07 20:56:29 +0000 2011 	 News Release (Apr 1-14) US Education Announces Awards to States to Turn Around Lowest-Performing Schools http://t.co/ycQY4jJTYL 	  
Tue Sep 13 21:00:16 +0000 2011 	 News Release (Apr 1-14) US Education Announces Awards to States to Turn Around Lowest-Performing Schools http://t.co/uoSh1eerDp 	  
Wed Aug 10 18:30:54 +0000 2011 	 News Release (Apr 1-14) US Education Announces Awards to States to Turn Around Lowest-Performing Schools http://t.co/7uIafaH9Rg 	  
Mon Aug 29 16:22:14 +0000 2011 	 US Education System http://t.co/U5LbDCZGTI 	 Worldwide  
Wed Mar 19 19:56:09 +0000 2014 	 RT @BodetUK: Big wave to @InspiredBldgSys @AnnaDempseydes @NOWVAGUE Thanks for following us http://t.co/RVmsZcVOhV #education #attendance 	 NewYork 
Tue Apr 24 16:53:17 +0000 2012 	 @Potamoose No question the media+US education have conspired to make people ignorant &amp; apathetic. Aldous Huxley warned specifically abt this 	  
Tue Oct 19 05:39:17 +0000 2010 	 Need advice on US education? Here is your chance to meet @UofCincys Charlie Schwartz @ EducationUSA, Chennai: http://t.co/S7m9ibSkw0. 	  
Sat Jan 26 15:21:19 +0000 2013 	 @aaronboykinn: Teachers like my 1st block teacher is the reason the US education system is failing 	 chs '17 
Fri Nov 05 19:50:33 +0000 2010 	 Tutor Zone is hosting a Common Core Conference on Friday, April 11. Join us! #education http://t.co/D2PiMWAHRp 	  
Mon Jun 17 06:25:35 +0000 2013 	 Someone make me a shirt that says "I survived the US education system but 4 real doe" 	  
Wed Aug 03 23:40:22 +0000 2011 	 Treating breast cancer is like the US education machine. Trying everything but succeeding at nothing. More doubt mammogram value - WSJ 	 Los Angeles 
Tue Apr 28 23:51:25 +0000 2009 	 Don't miss the discussion tonight about parenting a Middle School student. More Info: http://t.co/q4zHPAx1JW 	 Somerville, MA 
Wed Oct 26 03:42:34 +0000 2011 	 @daniuribe_ nope nope get us education.....well not from him 	 Basedworld,Florida 
Fri Feb 01 21:36:54 +0000 2013 	 Teachers like my 1st block teacher is the reason the US education system is failing 	 North Carolina  
Thu Nov 12 14:39:52 +0000 2009 	 RT @bobharrisonset: Lots of points in this piece about US education reforms resonate here in England? http://t.co/D66XcIHyEE  Some warning  	 Manchester UK 
Sun Jan 25 14:56:23 +0000 2009 	 Lots of points in this piece about US education reforms resonate here in England? http://t.co/D66XcIHyEE  Some warning signs so beware? 	  
Fri Feb 03 05:13:49 +0000 2012 	 Efficiency and Effectiveness of Education http://t.co/inVkLbDQ0S  #Education 	  
Fri Nov 22 17:33:40 +0000 2013 	 Write for Us About #Education http://t.co/75YmwW6xee 	  
Wed May 22 09:51:05 +0000 2013 	 RT @bcot: Bravo in TES: 'My dream is to come back with Chinese students to start degree courses with us' - Education - TES News http://t.co 	 Surrey 
Wed Nov 05 16:53:00 +0000 2008 	 Bravo in TES: 'My dream is to come back with Chinese students to start degree courses with us' - Education - TES News http://t.co/6oTgdfaTgt 	 Basingstoke, Hampshire 
Sat Mar 10 13:13:03 +0000 2012 	 The past gives us EDUCATION 	 PortHarcourt, Nigeria 
Fri Nov 07 21:27:07 +0000 2008 	 RT @UtahTeacher: Data backpack explicitly 2 enable Ed-Fi, #inBloom massive natl vendor databases #uted #utpol http://t.co/9WbTKSFbp8 http:/ 	 Utah 
Wed Oct 12 01:27:33 +0000 2011 	 Data backpack explicitly 2 enable Ed-Fi, #inBloom massive natl vendor databases #uted #utpol http://t.co/9WbTKSFbp8 http://t.co/uPr6POpzx6 	  
Sun Nov 20 13:49:19 +0000 2011 	 RT @MalayaKNayak: The country which gave us education nd living, now the country demads us to utilize it well. Thts why #ISupportAAP 	 banana republic 
Mon May 20 04:34:46 +0000 2013 	 RT @MalayaKNayak: The country which gave us education nd living, now the country demads us to utilize it well. Thts why #ISupportAAP 	 Bangalore  
Wed Nov 12 04:34:30 +0000 2008 	 RT @MalayaKNayak: The country which gave us education nd living, now the country demads us to utilize it well. Thts why #ISupportAAP 	 Hyderabad 
Sat Nov 24 16:14:52 +0000 2012 	 RT @MalayaKNayak: The country which gave us education nd living, now the country demads us to utilize it well. Thts why #ISupportAAP 	 Karnataka 
